1071,14.3239
760,8.29107
1355,17.5711
349,3.33054
320,2.62749
967,15.8879
1292,14.9973
630,9.70876
1014,15.3837
550,5.66247
1272,22.2735
1285,19.4779
1018,12.8976
607,6.47737
769,8.44459
580,3.95247
1387,15.663
1220,25.3844
702,7.23751
1255,19.1308
1016,17.8286
605,6.88886
895,8.81382
462,9.06451
193,1.4765
967,12.4087
1636,18.5073
1472,19.5185
1434,18.7683
559,5.92882
1228,22.5805
507,4.13929
1182,18.0607
1087,12.3864
786,9.30335
811,8.4012
1065,12.4491
619,8.96187
959,6.29135
1413,21.5186
1100,13.4709
1646,24.15
1033,16.661
1437,19.6503
1324,20.5361
1317,16.3267
1522,23.8952
1056,18.8701
569,8
695,7.75862
1244,18.7425
1317,16.3649
1813,32.2803
440,2.93692
893,8.26255
899,11.6532
274,2.48125
1442,19.6398
1369,14.9689
18,4.46262
1631,23.6474
902,10.4246
1420,20.168
1291,16.647
1243,23.9714
781,10.3676
1516,16.9021
1265,16.93
1034,20.5796
1310,16.4673
26,0.130716
1190,19.1682
1214,14.9367
619,8.71968
813,9.36784
1152,17.7336
1225,13.8247
413,4.33333
1030,13.2166
867,10.9317
1133,16.5648
602,6.58939
451,4.75087
1170,18.4341
1282,17.1627
232,2.77806
802,15.9229
637,4.13257
702,9.87843
906,13.0921
1176,13.7284
1470,22.3532
902,9.53817
816,7.94876
697,5.72225
682,10.5198
680,9.24857
558,9.7405
865,16.3894
63,13.6056
793,13.5747
1113,15.8112
1475,22.593
533,4.26721
476,4.31437
1331,15.8906
1591,16.7731
591,11.4258
1433,19.1638
334,3.72493
928,12.9719
2028,31.6055
912,13.5719
932,11.8669
605,4.30939
825,11.2047
545,6.95165
720,9.41938
1061,14.3527
1124,14.0697
1285,17.817
1956,30.6069
1542,24.4164
1243,17.2526
235,1.78056
896,11.0658
1384,21.8942
732,18.1566
831,13.7357
1459,23.0964
875,9.34178
1328,26.1722
1093,15.2689
1003,12.8464
1126,14.0481
1859,30.2115
703,13.4114
601,5.20362
1019,20.7077
1281,20.7716
1385,20.5037
541,5.68214
741,11.1398
1027,16.8122
902,10.5285
1062,10.8049
1016,16.3321
907,12.384
1076,10.9302
508,10.2435
1006,10.8279
1647,22.0839
501,3.99894
771,7.01091
1165,14.6236
765,11.8969
86,0.243046
489,7.49933
1262,19.133
1245,20.4441
855,10.8095
1252,21.6833
1936,27.5877
1222,17.3707
1002,11.0992
753,12.9086
680,2.89177
663,11.5918
966,13.5853
991,16.986
602,7.65668
1194,15.2538
1302,19.9183
780,7.53828
134,0.893652
312,2.15195
887,8.97863
1143,17.0571
1114,15.4562
1108,15.1388
1460,25.3256
247,2.57491
1546,26.0194
366,4.81677
983,16.0413
590,4.96451
1211,16.1117
818,11.7413
379,4.40384
1044,11.2938
424,4.46653
909,11.6341
901,12.5231
1299,15.9823
218,0.96418
1393,22.1851
861,9.24022
1018,12.3547
1151,14.9617
629,5.74786
1006,12.7928
1247,18.1585
1306,23.31
1258,21.3768
707,10.28
1197,12.35
267,1.67913
671,7.39033
997,9.98037
920,13.1394
642,9.85095
696,6.22541
937,12.0323
788,8.52838
1003,13.4153
815,8.40262
972,14.4305
922,9.1155
1019,15.6364
379,2.99299
479,5.68994
1277,28.7402
1240,15.092
1187,15.3134
1408,23.425
1107,20.9323
1163,16.1481
1411,20.0181
906,10.3388
1344,17.3083
1045,12.5606
998,11.0781
1204,20.4068
1163,16.6322
97,0.607394
1525,23.2135
1179,16.7414
731,9.70526
1038,12.8152
1826,32.1639
650,5.71705
1236,13.7935
756,7.38759
1020,15.8334
481,5.91494
641,9.36935
500,5.07637
871,14.7152
1409,24.8482
1278,13.6847
1296,20.9823
335,3.92091
844,9.16412
1110,26.4724
663,7.92148
421,3.09773
777,7.51701
540,6.97929
1109,16.4307
1212,18.363
724,7.02935
443,4.10645
1101,16.1534
731,11.6865
461,7.5451
548,5.76225
1396,19.4354
1613,21.2053
394,4.28255
788,10.6364
1015,12.7537
1421,20.3224
1610,13.1929
1926,30.58
689,8.56377
1430,18.5461
1307,20.6734
1024,10.593
1607,28.9292
1290,19.1989
744,12.64
848,11.0044
810,12.3495
583,6.13201
676,10.7963
1263,18.3515
170,0.978396
639,7.0605
1888,32.6049
1636,27.9231
1184,11.9634
1608,25.3961
1724,27.7335
1440,18.5949
1555,23.9672
868,8.4839
1423,21.0303
1119,14.6127
672,9.37475
1235,18.1642
682,12.7982
812,11.7568
421,3.23463
897,10.6211
956,12.9103
1351,20.4672
501,4.41073
1784,31.7627
526,5.84922
1670,25.2225
946,10.3933
994,15.9282
344,4.69868
1183,15.5306
302,2.60392
297,1.77586
668,10.8341
894,14.5266
818,6.86304
1520,18.791
1131,15.0496
821,8.26164
622,9.31867
1069,13.2198
914,10.3263
1070,21.2725
1061,12.6389
1211,18.4521
815,9.21106
243,1.62446
1075,14.0159
1289,19.2656
949,12.5952
575,4.71171
966,16.5917
839,8.67667
458,5.34944
557,9.92831
1103,13.7797
1702,25.3226
1778,26.0184
820,10.4838
1050,20.0829
1391,24.2803
1127,19.8586
658,7.19951
949,15.6099
861,11.2337
700,7.37376
579,7.97089
618,8.0542
1203,18.9647
912,9.94588
936,9.6354
664,7.7105
1125,16.6546
1187,16.1255
1835,29.4276
1069,17.4401
915,16.1835
377,4.8341
1093,16.7463
1233,14.6007
916,15.173
720,5.45234
11,14.1105
562,7.95818
1622,18.1784
1504,19.4634
258,1.58826
1192,16.7849
794,10.6389
1373,14.7165
583,6.45823
1018,13.9479
373,4.00537
650,8.63387
1384,23.649
921,13.8498
718,14.0537
1880,30.515
320,3.22913
1133,12.974
1258,25.389
729,12.6878
793,6.27737
515,5.18601
340,2.27353
756,8.49796
22,0.148636
1027,14.6903
379,3.19207
1034,11.8571
988,16.0363
1661,27.397
492,5.17813
1590,27.2492
1092,16.4016
681,7.86206
1257,18.7314
1145,14.4163
1574,8.80491
782,9.76918
1439,21.4924
1282,21.8832
1230,24.3197
534,5.00587
816,8.7419
813,7.50887
560,7.99574
781,9.14797
861,9.94915
650,5.4442
778,11.9445
1202,13.8388
472,5.38827
899,14.1387
1116,16.0968
888,9.03016
1311,23.7175
421,7.96774
1284,13.6844
812,10.916
1476,23.6572
1196,14.5258
1214,21.2292
36,0.269034
500,3.95902
5,32.6373
715,6.90458
1442,19.7318
1248,15.8055
985,14.0446
1014,15.2644
387,4.03097
1179,15.6751
1158,20.1752
1448,23.4983
1156,15.1103
670,5.88368
1106,16.3595
1342,16.8778
813,11.9573
1489,17.0717
860,8.72897
495,4.57286
722,7.52214
1212,25.0044
684,7.9206
1167,15.793
894,12.0623
1326,18.911
571,6.50715
1553,26.6742
1278,15.4056
889,9.65834
520,6.4477
523,3.96218
1194,14.4874
1288,18.6142
271,3.1702
1542,16.1782
1277,18.6806
462,3.02012
1278,22.2914
396,5.38523
933,9.89961
938,11.9041
925,14.0939
880,13.593
768,8.44254
832,9.15702
1371,22.5224
1071,13.5261
882,15.625
1059,13.4134
760,11.1678
959,9.05999
711,8.42957
960,16.3204
1100,10.9435
444,8.6296
877,12.2403
1128,13.8459
805,8.10702
263,3.01332
1406,18.4125
1149,14.9423
1303,24.6265
641,6.92371
1193,17.8466
1189,15.8935
1214,19.0553
556,7.99639
1424,24.1394
1001,19.431
944,8.59591
769,10.7288
1315,27.0164
732,8.83225
1352,23.3201
